,returns,lagged_returns,compound,positive,negative,neutral
19,0.009115281501340444,-0.00035733428622464203,0.7109,0.16,0.0,0.84
0,-0.022015073383577888,0.030662305805396528,0.0,0.0,0.0,1.0
1,-0.010342729669438389,-0.022015073383577888,0.34,0.092,0.05,0.858
2,-0.0016393442622950616,-0.010342729669438389,0.0,0.0,0.0,1.0
3,0.02504105090311981,-0.0016393442622950616,0.0,0.0,0.0,1.0
4,-0.031237484981978314,0.02504105090311981,-0.4767,0.0,0.091,0.909
5,-0.017982637453493266,-0.031237484981978314,-0.4767,0.0,0.097,0.903
6,-0.0027362660492527002,-0.017982637453493266,0.4939,0.096,0.0,0.904
7,-0.016251582946390952,-0.0027362660492527002,0.0,0.0,0.0,1.0
8,0.0031109204033470395,-0.016251582946390952,0.0,0.0,0.0,1.0
9,-0.014650839482408307,0.0031109204033470395,0.0,0.0,0.0,1.0
10,-0.0008682439765573813,-0.014650839482408307,0.5719,0.128,0.0,0.872
11,0.017162719965239992,-0.0008682439765573813,0.0,0.0,0.0,1.0
12,0.0008543357539512186,0.017162719965239992,0.0,0.0,0.0,1.0
13,-0.002560819462227859,0.0008543357539512186,0.0,0.0,0.0,1.0
14,-0.00492083868207116,-0.002560819462227859,-0.8519,0.0,0.243,0.757
15,-0.010320361212642348,-0.00492083868207116,0.0,0.0,0.0,1.0
16,-0.009558983271779176,-0.010320361212642348,-0.2111,0.073,0.1,0.827
17,-0.02215398113621414,-0.009558983271779176,-0.2111,0.073,0.1,0.827
18,0.003140421713772934,-0.02215398113621414,-0.3818,0.0,0.098,0.902
19,0.0013416815742397503,0.003140421713772934,0.7109,0.16,0.0,0.84
0,-0.012869797760320933,0.009107775341541613,0.0,0.0,0.0,1.0
1,0.007845129247093352,-0.012869797760320933,0.34,0.092,0.05,0.858
2,0.004816038528308253,0.007845129247093352,0.0,0.0,0.0,1.0
3,-0.010031767262999591,0.004816038528308253,0.0,0.0,0.0,1.0
4,-0.0126104824635479,-0.010031767262999591,-0.4767,0.0,0.091,0.909
5,-0.006670847824847392,-0.0126104824635479,-0.4767,0.0,0.097,0.903
6,-0.005223280909195216,-0.006670847824847392,0.4939,0.096,0.0,0.904
7,-0.002192602850383696,-0.005223280909195216,0.0,0.0,0.0,1.0
8,0.004279188110796195,-0.002192602850383696,0.0,0.0,0.0,1.0
9,-0.0032245062474807185,0.004279188110796195,0.0,0.0,0.0,1.0
10,0.003581537750563024,-0.0032245062474807185,0.5719,0.128,0.0,0.872
11,0.006849709319058261,0.003581537750563024,0.0,0.0,0.0,1.0
12,0.0009147038646240002,0.006849709319058261,0.0,0.0,0.0,1.0
13,-0.015764222069911016,0.0009147038646240002,0.0,0.0,0.0,1.0
14,-0.002263231197771498,-0.015764222069911016,-0.8519,0.0,0.243,0.757
15,-0.022334671087070324,-0.002263231197771498,0.0,0.0,0.0,1.0
16,-0.0067225890891784434,-0.022334671087070324,-0.2111,0.073,0.1,0.827
17,-0.0070076665069478405,-0.0067225890891784434,-0.2111,0.073,0.1,0.827
18,-0.005790457808070304,-0.0070076665069478405,-0.3818,0.0,0.098,0.902
19,0.0036401140569071178,-0.005790457808070304,0.7109,0.16,0.0,0.84
