date,symbol,lagged_returns,5_day_returns,volume_change,100_day_ma,50_day_ema,z_score,percentile_transformation,stochastic_k,stochastic_d
2020-10-06,AZN,0.2727386656425292,-0.5530725697585027,-0.785841593742286,-0.579927086173551,-0.6589559758864577,-1.1735851192436602,-0.9168452656159346,-0.5081844850061412,-1.468155698417932
2020-10-06,JNJ,-0.6075839150540441,-0.26949614001609734,-0.1020969245491593,-0.34113079668947816,-0.5326277449259258,-0.819276463583617,1.6384042309709863,1.3509718956713377,0.0197733308065388
2020-10-06,MRNA,-0.5707532127424441,-0.08748263708192516,0.01591996702189258,-0.8637560665428917,-0.0882719891069693,-0.35232576589833536,0.4989010770876298,-0.17503666528295111,0.6608283760788124
2020-10-06,PFE,-0.5476535693668898,-0.19222403418849124,0.28047617329433905,-0.2534463564591284,-0.5705739220251047,-0.7576596068693152,0.08453629385731833,-0.8351902671945295,0.33803137623434165
2020-10-07,AZN,-0.6603551355956865,-0.5214169532445958,-0.21815936448399786,-0.6139253856968414,-0.6771166567835833,-1.2465749498347105,-0.8901782251110135,-0.5108357954352357,-1.4998136091192655
2020-10-07,JNJ,-0.21341682957305164,-0.28763338973496894,-0.029664332197123455,-0.2515186659839759,-0.440344415146465,-0.48196125897795844,1.6397717715097002,1.3856321335443935,0.040768342187373234
2020-10-07,MRNA,0.30530334909406975,0.13302490804600228,-0.7517700049844768,-1.046798827170749,0.054306332567513126,-0.22715025408474668,0.5115508270707334,-0.14717561209095645,0.7199277901647062
2020-10-07,PFE,0.5801929634205167,-0.281244342536305,-0.32355754861394037,-0.3799102714545367,-0.4993886820681509,-0.6441952597483422,0.1012886654565636,-0.8278603601470798,0.40698354287605265
2020-10-08,AZN,0.20528051240128942,-0.24715873804280758,-0.620148371068884,-0.8390077469506058,-0.5855454751677338,-1.0026382689336828,-0.8640340677532478,-0.4982008107145302,-1.4526032159434985
2020-10-08,JNJ,0.28320116455724514,-0.04084516220639497,-0.44834602848268634,-0.46781206944885106,-0.3851866399988118,-0.2726673591377044,1.6411124975280476,1.4046723274253305,0.07927140638992007
2020-10-08,MRNA,0.15263352622951343,0.3959978717932677,-0.20699189371967108,-1.0473346943385533,0.09932295929790207,-0.1766578294646251,0.5239525427404426,-0.13820266442432017,0.7600527479586956
2020-10-08,PFE,0.1852848044468516,0.010865416566388685,-0.42041472382913675,-0.5537327116658888,-0.4045437956520718,-0.48532449308641973,0.11771255918131397,-0.8246912023372054,0.43776450525988436
2020-10-09,AZN,0.32112828345455846,-0.06123413328698195,-0.3067081920605401,-0.8888367915465226,-0.48717590239553227,-0.7290563612299126,-0.8383975639364095,-0.4916031774668602,-1.4341046701454618
2020-10-09,JNJ,0.3258360380159809,0.2672090700120178,0.04767160009867376,-0.3498029998476326,-0.2737525869433912,0.1554989644280824,1.642427190031475,1.4144756284196793,0.09858961831496739
2020-10-09,MRNA,0.40934867138808734,0.6727235451931716,0.11314197829288386,-0.9911887603953619,0.08453560217267228,-0.1735668534055086,0.5361134483971483,-0.14370586888189635,0.7708102166982153
2020-10-09,PFE,-0.0584153439838411,-0.03213982885475382,0.3040278400273601,-0.3159115908508075,-0.42820025078705,-0.5243448435909736,0.1338175423483019,-0.8237494557676477,0.44293888235210327
2020-10-12,AZN,-0.19038606227541754,0.01110767779411917,0.31702205009405204,-0.7524426589529973,-0.40448743000451687,-0.49022387589786603,-0.8132540698083567,-0.48392214799390854,-1.4310252495258093
2020-10-12,JNJ,0.26845106741614566,0.15371408172645246,0.4954641898570832,0.07981447029026899,-0.23315660915133904,0.32364193161723387,1.6437165999867598,1.3982839993433613,0.09111818146383054
2020-10-12,MRNA,0.11426646300066531,0.4711153780232099,0.6842067540928621,-0.7980024142554629,0.33285122150563295,0.04394350527879906,0.5480404904835323,-0.10806477227311737,0.7975915261265337
2020-10-12,PFE,1.044784731762204,-0.16516775827656907,-0.38868573550530533,-0.4817337549912559,-0.42223726506922993,-0.5136470655565392,0.14961281430054033,-0.8204627283192709,0.4653824473514073
2020-10-13,AZN,-0.06360652014039649,0.011415875277061128,-0.0661043677072655,-0.7028278995851496,-0.5224371139305177,-0.8354362995618091,-0.7885894993779811,-0.5009338917563717,-1.4093912437900893
2020-10-13,JNJ,-0.6068258445406973,0.011724715933861247,0.5782152737583042,0.7750006216074139,-0.43186456048640975,-0.4055710403343629,1.6120953558452522,1.3260245523898933,0.006240395541336468
2020-10-13,MRNA,-0.9169396285130239,1.2574233502393857,0.9824180396402156,-0.3869095376433717,0.6460665623684099,0.3193018511517961,0.5597403508158899,-0.05796681448539009,0.7589224788124157
2020-10-13,PFE,1.3297507512746443,0.09445878978840666,-0.007894161306864158,-0.40057380047402924,-0.4054886008606078,-0.4837572536556215,0.16510722392987884,-0.8302277673168221,0.43386683488244027
2020-10-14,AZN,-0.014806968119764704,-0.28244531665212397,0.6684335112385299,-0.35574521463950576,-0.7097081452212436,-1.3960898851589794,-0.7969661459392406,-0.5345282717434352,-1.4027394344721513
2020-10-14,JNJ,-0.9442482477007836,-0.17109203616423505,-0.5772711412266057,0.14651086822760734,-0.4465866350208186,-0.4612803937106898,1.61364658668993,1.3201577294960707,-0.04235227179817718
2020-10-14,MRNA,-0.15593290377087338,0.6301753431398531,-0.8779227453512208,-0.8498147904377865,0.39704851232663757,0.14272938578066713,0.5712194590665048,-0.09968524405866307,0.6787876823286555
2020-10-14,PFE,-0.8874026284980087,-0.040324596487195274,-0.1237266959293481,-0.3854337681583107,-0.41586876013983576,-0.5001549881343061,0.18030928620772047,-0.8408389954998217,0.37641938172231526
