date,symbol,close,compound_b,neg_b,neu_b,pos_b,compound_t,neg_t,neu_t,pos_t,lagged_returns,5_day_returns,volume_change,100_day_ma,50_day_ema,z_score,percentile_transformation,stochastic_k,stochastic_d
2020-10-06,AZN,-0.5692076142790795,1.9787,0.005,5.771,0.223,0.2539,0.149,5.523,0.32799999999999996,0.2727386656425292,-0.5530725697585027,-0.7858415937422858,-0.579927086173551,-0.6589559758864577,-1.1735851192436602,-0.9168452656159346,-0.5081844850061412,-1.4681556984179318
2020-10-06,MRNA,-0.5110242739282286,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,-0.5707532127424441,-0.08748263708192516,0.01591996702189258,-0.8637560665428917,-0.0882719891069693,-0.35232576589833536,0.4989010770876298,-0.17503666528295111,0.6608283760788124
2020-10-06,PFE,-0.6204405222541509,1.9746,0.032,2.825,0.14300000000000002,-0.046599999999999975,0.136,2.6660000000000004,0.198,-0.5476535693668898,-0.19222403418849124,0.28047617329433905,-0.2534463564591284,-0.5705739220251047,-0.7576596068693152,0.08453629385731833,-0.8351902671945295,0.33803137623434165
2020-10-07,AZN,-0.1865307345333438,1.9318,0.055,3.739,0.206,0.9949,0.065,3.53,0.405,-0.6603551355956865,-0.5214169532445958,-0.21815936448399784,-0.6139253856968414,-0.6771166567835833,-1.2465749498347105,-0.8901782251110135,-0.5108357954352357,-1.4998136091192655
2020-10-07,JNJ,0.3170684414132149,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,-0.21341682957305164,-0.2876333897349689,-0.02966433219712345,-0.2515186659839759,-0.440344415146465,-0.4819612589779584,1.6397717715097002,1.3856321335443935,0.040768342187373234
2020-10-07,MRNA,0.5839448594596072,1.6183999999999998,0.096,1.704,0.2,0.4215,0.085,1.692,0.223,0.3053033490940697,0.13302490804600228,-0.7517700049844768,-1.046798827170749,0.054306332567513126,-0.2271502540847467,0.5115508270707334,-0.14717561209095645,0.7199277901647062
2020-10-07,PFE,0.2199613300921296,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5801929634205167,-0.281244342536305,-0.3235575486139404,-0.3799102714545367,-0.4993886820681509,-0.6441952597483422,0.1012886654565636,-0.8278603601470798,0.4069835428760527
2020-10-08,AZN,0.295610548743675,0.9787,0.154,2.513,0.33399999999999996,0.6778,0.0,2.6289999999999996,0.371,0.20528051240128944,-0.2471587380428076,-0.6201483710688841,-0.8390077469506058,-0.5855454751677338,-1.0026382689336828,-0.8640340677532478,-0.4982008107145302,-1.4526032159434985
2020-10-08,JNJ,0.16884903498091428,0.8957,0.0,1.925,0.075,0.9453,0.0,2.61,0.39,0.28320116455724514,-0.04084516220639497,-0.4483460284826864,-0.4678120694488511,-0.3851866399988118,-0.2726673591377044,1.6411124975280476,1.4046723274253303,0.07927140638992007
2020-10-08,MRNA,0.20054850895569756,1.3063,0.013999999999999999,2.829,0.157,0.7547999999999999,0.0,4.705,0.295,0.15263352622951346,0.3959978717932677,-0.20699189371967108,-1.0473346943385533,0.09932295929790208,-0.1766578294646251,0.5239525427404426,-0.13820266442432014,0.7600527479586956
2020-10-08,PFE,0.3324320694945985,1.8642,0.064,3.7939999999999996,0.14200000000000002,1.4872,0.077,3.3819999999999997,0.5409999999999999,0.1852848044468516,0.010865416566388685,-0.4204147238291368,-0.5537327116658888,-0.4045437956520718,-0.4853244930864197,0.11771255918131394,-0.8246912023372054,0.4377645052598844
2020-10-09,AZN,0.3370025902015101,0.9690000000000001,0.027000000000000003,3.862,0.111,0.7175,0.0,4.829,0.171,0.3211282834545585,-0.06123413328698195,-0.3067081920605401,-0.8888367915465226,-0.4871759023955322,-0.7290563612299126,-0.8383975639364095,-0.4916031774668602,-1.4341046701454618
2020-10-09,MRNA,-0.036047634736080254,-0.128,0.077,1.923,0.0,0.2739,0.13,1.7169999999999999,0.153,0.40934867138808734,0.6727235451931716,0.11314197829288385,-0.991188760395362,0.08453560217267228,-0.1735668534055086,0.5361134483971483,-0.14370586888189635,0.7708102166982153
2020-10-09,PFE,-0.1641713278445432,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.0584153439838411,-0.03213982885475382,0.3040278400273601,-0.3159115908508075,-0.42820025078705,-0.5243448435909736,0.1338175423483019,-0.8237494557676477,0.4429388823521033
2020-10-12,AZN,0.2812904257353965,1.9797,0.022000000000000002,1.692,0.28600000000000003,0.0,0.0,2.0,0.0,-0.19038606227541754,0.01110767779411917,0.31702205009405204,-0.7524426589529973,-0.4044874300045169,-0.490223875897866,-0.8132540698083567,-0.4839221479939085,-1.4310252495258091
2020-10-12,JNJ,0.1316003945382283,0.4895999999999999,0.165,3.662,0.172,-0.9026,0.7270000000000001,3.124,0.149,0.2684510674161457,0.15371408172645246,0.4954641898570832,0.07981447029026899,-0.23315660915133904,0.3236419316172339,1.6437165999867598,1.3982839993433611,0.09111818146383054
2020-10-12,MRNA,1.0349935005393147,1.5859999999999999,0.109,1.7380000000000002,0.153,0.7964000000000002,0.213,2.327,0.46,0.11426646300066533,0.4711153780232099,0.6842067540928621,-0.7980024142554629,0.3328512215056329,0.04394350527879906,0.5480404904835323,-0.10806477227311737,0.7975915261265337
2020-10-12,PFE,-0.041087485010176436,-0.4588,0.174,1.8259999999999998,0.0,-0.128,0.13,1.87,0.0,1.044784731762204,-0.16516775827656907,-0.3886857355053053,-0.4817337549912559,-0.4222372650692299,-0.5136470655565392,0.14961281430054033,-0.8204627283192709,0.4653824473514073
2020-10-13,AZN,-0.5684716419735261,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,-0.06360652014039649,0.011415875277061128,-0.0661043677072655,-0.7028278995851496,-0.5224371139305177,-0.8354362995618091,-0.7885894993779811,-0.5009338917563717,-1.4093912437900893
2020-10-13,JNJ,-0.8695454241028959,4.5264000000000015,0.28800000000000003,8.934999999999997,0.7759999999999999,-1.0228,0.7729999999999999,13.048000000000002,0.179,-0.6068258445406973,0.011724715933861249,0.5782152737583042,0.7750006216074139,-0.43186456048640975,-0.4055710403343629,1.6120953558452522,1.3260245523898933,0.006240395541336468
2020-10-14,AZN,-0.896057980746696,0.7845,0.055,2.8569999999999998,0.087,0.7817,0.0,2.583,0.41700000000000004,-0.014806968119764704,-0.282445316652124,0.6684335112385299,-0.35574521463950576,-0.7097081452212436,-1.3960898851589794,-0.7969661459392406,-0.5345282717434352,-1.402739434472151
2020-10-14,JNJ,-0.1307224994680805,1.8348,0.172,3.4810000000000003,0.34700000000000003,1.0435,0.185,3.1000000000000005,0.7150000000000001,-0.9442482477007836,-0.17109203616423505,-0.5772711412266057,0.14651086822760734,-0.4465866350208186,-0.4612803937106898,1.6136465866899299,1.320157729496071,-0.04235227179817718
2020-10-14,MRNA,-0.8408694452625955,0.9951,0.006999999999999999,0.871,0.122,0.29600000000000004,0.0,1.9369999999999998,0.062,-0.15593290377087338,0.6301753431398531,-0.8779227453512208,-0.8498147904377865,0.3970485123266376,0.14272938578066713,0.5712194590665048,-0.09968524405866308,0.6787876823286555
