date,symbol,compound_b,neg_b,neu_b,pos_b,compound_t,neg_t,neu_t,pos_t
2020-10-08,PFE,1.8641999999999999,0.064,3.794,0.14200000000000002,1.4872,0.077,3.382,0.5409999999999999
2020-10-09,AZN,0.969,0.027,3.862,0.111,0.7175,0.0,4.829,0.17099999999999999
2020-10-09,MRNA,-0.128,0.077,1.923,0.0,0.2739,0.13,1.717,0.153
2020-10-09,PFE,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2020-10-11,JNJ,0.9485,0.018,0.927,0.055,0.0,0.0,1.0,0.0
2020-10-11,PFE,0.9902,0.039,0.858,0.103,0.0,0.0,1.0,0.0
2020-10-12,AZN,1.9797,0.022,1.692,0.28600000000000003,0.0,0.0,2.0,0.0
2020-10-12,JNJ,0.4895999999999999,0.165,3.662,0.172,-0.9026000000000001,0.7270000000000001,3.1239999999999997,0.149
2020-10-12,MRNA,1.586,0.109,1.738,0.153,0.7964000000000002,0.213,2.327,0.46
2020-10-12,PFE,-0.4588,0.174,1.826,0.0,-0.128,0.13,1.87,0.0
2020-10-13,AZN,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
2020-10-13,JNJ,4.526400000000001,0.28800000000000003,8.934999999999999,0.776,-1.0228,0.7729999999999999,13.048000000000002,0.179
2020-10-14,AZN,0.7845,0.055,2.857,0.087,0.7817,0.0,2.583,0.417
2020-10-14,JNJ,1.8348,0.17200000000000001,3.4810000000000003,0.347,1.0434999999999999,0.185,3.1000000000000005,0.7150000000000001
2020-10-14,MRNA,0.9951,0.007,0.871,0.122,0.296,0.0,1.937,0.062
2020-10-14,PFE,0.9822,0.025,0.875,0.1,0.0,0.0,1.0,0.0
2020-10-15,AZN,0.08230000000000004,0.114,1.693,0.193,0.25,0.0,1.75,0.25
2020-10-15,JNJ,0.0,0.0,1.0,0.0,-0.3818,0.075,0.925,0.0
2020-10-15,MRNA,0.9926,0.023,0.899,0.078,0.0,0.0,4.0,0.0
2020-10-15,PFE,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
